Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Collin Sexton,CLE,21,73,190,65,2143,65,7,110,1,48,22
Corey Brewer,SAC,34,81,188,5,33,4,0,7,1,3,1
Cory Joseph,SAC,28,75,200,72,1759,53,21,106,5,73,41
Courtney Lee,DAL,34,77,215,24,345,18,6,34,1,14,0
Cristiano Felicio,CHI,27,82,270,22,386,10,2,22,0,14,0
D'Angelo Russell,MIN,24,76,193,45,1452,48,13,98,2,37,7
D.J. Augustin,ORL,32,71,183,57,1420,34,1,47,4,22,12
D.J. Wilson,MIL,24,82,231,37,363,3,5,8,2,21,3
DaQuan Jeffries,SAC,22,77,230,13,141,4,1,10,1,8,2
Damian Jones,ATL,25,83,245,55,887,26,40,51,0,84,4
Damian Lillard,POR,29,74,195,66,2474,70,22,136,6,51,23
Damion Lee,GSW,27,77,210,49,1423,50,6,64,6,46,21
Damyean Dotson,NYK,26,77,210,48,836,23,4,30,2,28,5
Daniel Gafford,CHI,21,82,234,43,609,13,56,33,5,54,14
Daniel Theis,BOS,28,80,245,65,1566,37,84,117,7,114,19
Danilo Gallinari,OKC,31,82,233,62,1834,42,5,65,10,29,15
Danny Green,LAL,33,78,215,68,1687,85,32,181,5,59,19
